Trip Number,Purpose,Vehicle class,Trip type,Passengers,Date of enquiry,Leg 1 start date,Distance in kms,Travel time minutes,Total time elapsed(hours),Trip starts before 7 am,Trip ends after 6pm,Supplier id,Supplier Quote(including GST),Total google distance to the closest depot,Closest depot,Closest city id,Closest city Google distance(km)
#021220217,Other,Budget,One Way,50,12/02/2021,13/03/2021,40.891,42,0.7,No,Yes,192,500,49,772,506,3.9
#021220211,Wedding,Standard,Return,40,12/02/2021,29/01/2022,58.987,63,9.27,No,No,318,775,18,693,451,5.9
#021120217,Other,Budget,Return,21,11/02/2021,27/02/2021,124.789,101,8.83,No,Yes,343,725,18,758,452,7.6
#021120213,Hen or Stag Do,Budget,Return,25,11/02/2021,20/03/2021,209.903,194,11.62,No,Yes,326,1222.45,56,745,426,7.0
#021120215,Educational Trip,Budget,Return,25,11/02/2021,16/02/2021,49.575,47,4.17,No,No,326,410.55,30,745,533,15.6
#021120214,Business Travel,Standard,Return,30,11/02/2021,25/02/2021,11.298,28,3.47,No,No,323,535.9,12,740,432,1.1
#021120212,Wedding,Budget,Return,110,11/02/2021,08/05/2021,81.246,72,11.27,No,No,343,2185,8,758,452,3.7
#021120212,Wedding,Budget,Return,110,11/02/2021,08/05/2021,81.246,72,11.27,No,No,314,1576,6,714,452,3.7
#020520219,Other,Standard,One Way,50,05/02/2021,27/03/2021,23.508,23,0.38,No,No,331,497,27,749,437,3.5
#020920217,Wedding,Standard,Return,25,09/02/2021,03/04/2021,13.744,17,9.9,No,Yes,251,316.25,46,770,525,3.3
#020920215,Other,Budget,Return,30,09/02/2021,01/04/2021,257.386,194,93.85,No,No,326,2180.4,36,745,426,17.4
#020920214,Club or Society,Budget,One Way,30,09/02/2021,26/02/2021,3.427,10,0.17,No,No,323,267.95,7,740,432,0.8
#020920214,Club or Society,Budget,One Way,30,09/02/2021,26/02/2021,3.427,10,0.17,No,No,301,320,57,777,432,0.8
#020920213,Tour,Standard,One Way,15,09/02/2021,22/02/2021,24.489,28,0.47,No,No,326,349.6,54,745,426,19.7
#020920213,Tour,Standard,One Way,15,09/02/2021,22/02/2021,24.489,28,0.47,No,No,192,555,127,772,426,19.7
#020920212,Business Travel,Standard,Return,35,09/02/2021,18/02/2021,66.342,59,7.48,No,Yes,323,805,12,740,432,1.1
#020820211,Wedding,Budget,Return,40,08/02/2021,17/04/2021,34.673,29,9.48,No,Yes,314,713,0,717,486,0.4
#020720213,Wedding,Standard,Return,42,07/02/2021,19/02/2022,32.374,36,9.05,No,No,308,1035,16,701,429,0.0
