,Vehicle class,Trip type,Passengers,Distance in kms,Travel time minutes,Total time elapsed(hours),Supplier Quote(including GST),Number of MiniBus,Number of Large MiniBus,Number of Small Coach,Number of Medium Coach,Number of Large Coach,Extra Large Coach,Preds,Margin Of Error
275,0,1,46,407.376,331,11.82,1842.19,0,0,0,0,1,0,2360.9853515625,518.7953515625
276,0,1,22,136.925,121,9.5,1228.58,0,1,0,0,0,0,787.50732421875,-441.0726757812499
277,0,0,45,10.989,9,0.15,250.0,0,0,0,0,1,0,526.3983764648438,276.39837646484375
278,0,1,21,222.548,186,9.55,880.0,0,1,0,0,0,0,990.0836791992188,110.08367919921875
279,0,1,12,158.84799999999996,137,72.65,1094.8,0,1,0,0,0,0,974.5252075195312,-120.2747924804687
280,0,1,22,93.157,91,10.48,690.0,0,1,0,0,0,0,718.4122314453125,28.4122314453125
281,0,1,22,93.157,91,10.48,680.0,0,1,0,0,0,0,718.4122314453125,38.4122314453125
282,0,1,22,93.157,91,10.48,935.0,0,1,0,0,0,0,718.4122314453125,-216.5877685546875
283,0,1,20,26.249,27,4.73,542.8,0,1,0,0,0,0,318.4577331542969,-224.34226684570308
284,1,1,7,58.273,64,6.27,586.5,1,0,0,0,0,0,467.9289245605469,-118.57107543945312
285,1,1,7,58.273,64,6.27,535.46,1,0,0,0,0,0,467.9289245605469,-67.53107543945316
286,1,1,7,58.273,64,6.27,680.0,1,0,0,0,0,0,467.9288024902344,-212.07119750976562
287,0,1,52,289.195,236,82.47,8152.35,0,0,0,0,0,1,5341.236328125,-2811.1136718750004
288,0,0,23,8.588,13,0.22,276.0,0,1,0,0,0,0,307.3636169433594,31.363616943359375
289,0,0,23,8.588,13,0.22,431.25,0,1,0,0,0,0,307.3636169433594,-123.88638305664062
290,0,0,23,8.588,13,0.22,385.0,0,1,0,0,0,0,307.3636169433594,-77.63638305664062
291,0,1,12,164.85,142,7.18,634.8,0,1,0,0,0,0,657.2889404296875,22.488940429687545
292,0,1,40,35.984,41,9.08,693.0,0,0,0,1,0,0,697.862060546875,4.862060546875
293,0,0,20,23.578000000000007,27,0.45,273.7,0,1,0,0,0,0,325.2547302246094,51.554730224609386
294,1,1,20,1.596,6,32.05,3154.45,0,1,0,0,0,0,1687.1761474609375,-1467.2738525390623
295,0,0,30,17.31,18,0.3,350.75,0,0,1,0,0,0,367.83197021484375,17.08197021484375
296,0,0,25,10.953,11,0.18,805.0,0,0,1,0,0,0,307.23370361328125,-497.76629638671875
297,0,1,55,71.934,65,8.3,931.5,1,0,0,0,0,1,893.3662109375,-38.1337890625
298,0,0,15,5.655,9,0.15,253.0,0,1,0,0,0,0,209.565673828125,-43.434326171875
299,0,1,12,105.801,90,7.48,561.78,0,1,0,0,0,0,469.5682067871094,-92.2117932128906
300,0,1,12,105.801,90,7.48,500.25,0,1,0,0,0,0,469.5682067871094,-30.681793212890625
301,0,1,20,81.485,74,10.87,630.0,0,1,0,0,0,0,631.4566650390625,1.4566650390625
302,0,1,20,81.485,74,10.87,727.0,0,1,0,0,0,0,631.4566650390625,-95.5433349609375
303,0,1,15,17.621,25,70.2,475.0,0,1,0,0,0,0,471.14666748046875,-3.85333251953125
304,0,1,15,17.621,25,70.2,517.5,0,1,0,0,0,0,471.14666748046875,-46.35333251953125
305,0,1,50,82.111,76,9.63,700.0,0,0,0,0,0,1,970.4801025390625,270.4801025390625
306,0,1,50,82.111,76,9.63,727.0,0,0,0,0,0,1,970.4801025390625,243.4801025390625
307,0,1,60,77.336,79,9.9,1260.0,1,0,0,0,0,1,1074.166748046875,-185.833251953125
308,0,1,60,77.336,79,9.9,712.0,1,0,0,0,0,1,1074.166748046875,362.166748046875
309,0,1,43,44.492,61,7.0,483.0,0,0,0,1,0,0,768.9700927734375,285.9700927734375
310,0,1,43,44.492,61,7.0,855.0,0,0,0,1,0,0,768.9700927734375,-86.0299072265625
311,0,1,35,428.097,307,51.57,2869.25,0,0,1,0,0,0,3485.310546875,616.060546875
312,0,1,35,428.097,307,51.57,3900.26,0,0,1,0,0,0,3485.310546875,-414.9494531250002
313,0,1,40,35.984,41,9.08,580.0,0,0,0,1,0,0,697.862060546875,117.862060546875
314,0,1,8,95.803,83,10.52,550.0,1,0,0,0,0,0,437.50189208984375,-112.49810791015625
315,0,1,8,95.803,83,10.52,632.0,1,0,0,0,0,0,437.50189208984375,-194.49810791015625
